Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-04-18,185.949997,186.100006,184.389999,184.610001,184.610001,8886700,43
2022-04-19,183.190002,183.649994,181.330002,181.820007,181.820007,12585600,44
2022-04-20,181.589996,182.720001,181.350006,182.710007,182.710007,7038600,45
2022-04-21,181.770004,182.320007,180.779999,182.059998,182.059998,9639800,46
2022-04-22,180.720001,181.610001,179.740005,180.289993,180.289993,9147000,47
2022-04-25,177.169998,177.509995,176.479996,177.050003,177.050003,13073700,48
2022-04-26,177.949997,178.300003,176.919998,177.320007,177.320007,9042400,49
2022-04-27,176.460007,176.639999,175.5,175.979996,175.979996,8854700,50
2022-04-28,175.919998,176.970001,175.690002,176.929993,176.929993,6381100,51
2022-04-29,178.070007,178.619995,176.710007,176.910004,176.910004,7719700,52
2022-05-02,173.610001,174.649994,172.979996,173.630005,173.630005,14318600,53
2022-05-03,173.889999,175.210007,173.850006,174.089996,174.089996,7214300,54
2022-05-04,174.320007,176.350006,173.669998,175.800003,175.800003,10491700,55
2022-05-05,177.559998,177.610001,174.660004,175.130005,175.130005,12794200,56
2022-05-06,175.389999,176.559998,174.860001,175.419998,175.419998,7643300,57
2022-05-09,174.270004,174.270004,172.789993,172.880005,172.880005,10742400,58
2022-05-10,173.800003,173.960007,171.199997,171.419998,171.419998,11010400,59
2022-05-11,172.509995,173.320007,172.199997,172.820007,172.820007,9179600,60
2022-05-12,172.070007,172.399994,169.899994,170.169998,170.169998,11626800,61
2022-05-13,168.309998,169.619995,168.009995,168.789993,168.789993,13031100,62
2022-05-16,168.429993,170.429993,168.339996,170.399994,170.399994,7319300,63
2022-05-17,170.440002,170.529999,169.139999,169.330002,169.330002,6441100,64
2022-05-18,169.009995,170.210007,168.809998,169.419998,169.419998,7472900,65
2022-05-19,171.550003,172.520004,170.889999,171.910004,171.910004,10580300,66
2022-05-20,171.710007,172.240005,170.889999,172.029999,172.029999,6578100,67
2022-05-23,173.130005,173.380005,172.279999,172.830002,172.830002,5518500,68
2022-05-24,173.470001,174.410004,173.350006,174.130005,174.130005,6794000,69
2022-05-25,172.789993,173.160004,171.729996,173.080002,173.080002,4595900,70
2022-05-26,172.130005,172.929993,171.759995,172.759995,172.759995,6467000,71
2022-05-27,173.490005,173.520004,172.639999,172.850006,172.850006,3847900,72
2022-05-31,172.710007,173.070007,171.080002,171.139999,171.139999,6244000,73
2022-06-01,172.210007,172.529999,171.389999,172.229996,172.229996,6946500,74
2022-06-02,173.660004,174.449997,173.490005,174.350006,174.350006,5623100,75
2022-06-03,173.529999,173.970001,172.25,172.580002,172.580002,5519400,76
2022-06-06,172.809998,172.889999,171.649994,171.820007,171.820007,3766000,77
2022-06-07,172.110001,173.050003,171.990005,172.940002,172.940002,3860000,78
2022-06-08,172.889999,173.449997,172.669998,172.779999,172.779999,5140800,79
2022-06-09,172.449997,172.589996,171.580002,172.229996,172.229996,4701100,80
2022-06-10,170.889999,174.940002,170.460007,174.539993,174.539993,16856100,81
2022-06-13,171.179993,171.339996,169.610001,169.929993,169.929993,13265200,82
2022-06-14,169.610001,169.729996,168.300003,168.570007,168.570007,7347900,83
2022-06-15,170.399994,171.839996,169.080002,170.770004,170.770004,9000300,84
2022-06-16,170.559998,172.770004,170.169998,172.690002,172.690002,8823600,85
2022-06-17,172.149994,172.300003,170.970001,171.270004,171.270004,7407200,86
2022-06-21,171.059998,171.910004,170.470001,170.630005,170.630005,5608500,87
2022-06-22,171.610001,172.300003,171.100006,171.309998,171.309998,6558700,88
2022-06-23,171.389999,172.130005,169.899994,170.259995,170.259995,6535300,89
2022-06-24,170.240005,170.740005,169.850006,170.089996,170.089996,6143100,90
2022-06-27,170.600006,170.669998,169.75,169.899994,169.899994,5719700,91
2022-06-28,170.070007,170.210007,169.509995,169.619995,169.619995,2982700,92
2022-06-29,170.580002,170.699997,169.169998,169.490005,169.490005,4785600,93
2022-06-30,169.509995,169.960007,168.240005,168.460007,168.460007,9144400,94
2022-07-01,167.139999,168.679993,166.960007,168.320007,168.320007,11380300,95
2022-07-05,167.179993,167.330002,164.410004,164.75,164.75,14035400,96
2022-07-06,164.320007,164.570007,161.470001,162.139999,162.139999,11861100,97
2022-07-07,162.429993,163.039993,162.059998,162.229996,162.229996,4588400,98
